n,acceptance_number,reject_good_probability,accept_bad_probability
20,4,0.3703517360973302,0.15892403307667952
30,6,0.39303008027425845,0.08980600008460701
40,8,0.40687286985160853,0.052785108680875464
50,10,0.41644058153393226,0.031740052698861945
60,12,0.42355969855412257,0.019373492127347458
70,14,0.4291230354821922,0.011951790713097946
80,16,0.43362545189739254,0.007432339051475025
90,18,0.43736623336166847,0.004650713409000425
100,20,0.4405384151265993,0.0029246959833004573
110,22,0.44327282558502556,0.001846803059103164
120,24,0.4456616928796766,0.0011701665297085388
130,26,0.4477721519349266,0.0007435966650020866
140,28,0.4496543906629231,0.0004737105646590033
150,30,0.4513467809647037,0.00030243552869464296
160,32,0.45287923047349066,0.00019345553671347302
170,34,0.45427544103891315,0.00012395463820775535
180,36,0.4555544718300667,7.954227219846718e-05
190,38,0.4567318466996175,5.111160625076867e-05
200,40,0.4578203549505021,3.288289672717266e-05
210,42,0.45883064102647375,2.117875140455258e-05
220,44,0.45977164587773833,1.3654246471538937e-05
230,46,0.46065094216757896,8.811199930825932e-06
240,48,0.4614749922335688,5.690752650088785e-06
250,50,0.4622493489954612,3.678264460738933e-06
260,52,0.46297881414672737,2.3791909363192287e-06
270,54,0.4636675639642406,1.5399479706634299e-06
280,56,0.4643192502891025,9.973621861028768e-07
290,58,0.46493708226918906,6.463259734290399e-07
300,60,0.46552389305011654,4.19069191715539e-07
310,62,0.4660821945840451,2.7185692202531533e-07
320,64,0.466614222979826,1.764420460684398e-07
330,66,0.46712197626497676,1.1456672678982266e-07
340,68,0.467607246015762,7.442150095959713e-08
350,70,0.46807164399841494,4.836281376964745e-08
360,72,0.46851662472553757,3.1440429647981e-08
370,74,0.4689435046478063,2.0446570486132454e-08
380,76,0.46935347855849874,1.3301467401166356e-08
390,78,0.46974763367691463,8.656021152380461e-09
400,80,0.4701269617890975,5.634688085980227e-09
410,82,0.47049236975481434,3.669001629295317e-09
420,84,0.4708446886344173,2.3897169639543473e-09
430,86,0.4711846816448342,1.556897627662425e-09
440,88,0.4715130511181638,1.0145735515442799e-09
450,90,0.47183044460735857,6.613206814931266e-10
460,92,0.4721374602598518,4.311627843688994e-10
470,94,0.47243465156064557,2.811685986259396e-10
480,96,0.47272253153047683,1.833938633339081e-10
490,98,0.4730015764515333,1.196441599414943e-10
500,100,0.47327222918229794,7.806986706903461e-11
510,102,0.4735349021140166,5.095153998473046e-11
520,104,0.4737899798136992,3.3259064316403666e-11
530,106,0.4740378213921873,2.1713940661725767e-11
540,108,0.47427876263046465,1.4178830314981112e-11
550,110,0.47451311789284445,9.260036156495874e-12
560,112,0.4747411818518291,6.048573984657259e-12
570,114,0.4749632310461671,3.951472801693991e-12
580,116,0.4751795252908385,2.5818347953037665e-12
590,118,0.47539030895532053,1.687171514482416e-12
600,120,0.4755958121244319,1.1026795897136836e-12
610,122,0.47579625165429207,7.20770223382451e-13
620,124,0.47599183213441787,4.711941721391576e-13
630,126,0.4761827467656583,3.0807525511046467e-13
640,128,0.4763691781625323,2.014493620485887e-13
650,130,0.4765512990875457,1.3174239829158173e-13
660,132,0.4767292731241968,8.616567817783868e-14
670,134,0.4769032552946336,5.636255685260122e-14
680,136,0.4770733926272578,3.687171260044145e-14
690,138,0.47723982467900483,2.412352996869094e-14
